City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
8,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
10,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
11,Avarua,CK,84.2,scattered clouds,-21.2078,-159.775,Paradise Inn
12,Takoradi,GH,79.79,overcast clouds,4.8845,-1.7554,Raybow International Hotel
13,Rikitea,PF,75.72,broken clouds,-23.1203,-134.9692,Pension Maro'i
14,Bhatkal,IN,85.3,few clouds,13.9667,74.5667,SPOT ON 61793 Chaya Residency SPOT
16,Arlit,NE,86.99,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
18,Bengkulu,ID,83.5,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
28,Airai,TL,76.28,broken clouds,-8.9266,125.4092,Juvinal Martin
30,Dingle,PH,88.61,light rain,10.9995,122.6711,SEGAYA PROPERTY
31,Cap Malheureux,MU,75.99,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
32,Puerto Ayora,EC,75.24,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
38,Dangtu,CN,78.8,clear sky,31.5723,118.4928,City Bianjie Hotel Maanshan Dangtu
43,Pandan,PH,81.84,scattered clouds,14.0453,124.1694,Bonifacio Lodge
46,Atuona,PF,79.63,scattered clouds,-9.8,-139.0333,Villa Enata
51,Vaini,TO,78.8,light rain,-21.2,-175.2,Keleti Beach Resort
52,Flinders,AU,75.0,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
53,Samarai,PG,80.37,overcast clouds,-10.6167,150.6667,Nuli Sapi
54,Isangel,VU,82.4,few clouds,-19.55,169.2667,Tanna Lodge
55,Hilo,US,80.6,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
61,Sann,PK,84.2,haze,26.0418,68.1378,
75,Tuy Hoa,VN,84.27,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
83,Isabela,PH,86.0,few clouds,6.7085,121.9711,Isawad Resort
87,Manta,EC,77.0,broken clouds,-0.95,-80.7333,Balandra Hotel
97,Butaritari,KI,81.72,moderate rain,3.0707,172.7902,Isles Sunset Lodge
101,Ambon,ID,83.57,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
105,Poum,NC,75.69,clear sky,-20.2333,164.0167,Gîte kajeon
106,Cabo Rojo,PR,75.99,scattered clouds,18.0866,-67.1457,Hotel Perichi's
110,Carnarvon,AU,82.4,clear sky,-24.8667,113.6333,Hospitality Carnarvon
116,Hithadhoo,MV,83.98,broken clouds,-0.6,73.0833,Scoop Guest House
117,Maryborough,AU,77.0,overcast clouds,-25.5333,152.7,Blue Shades Motel
120,Blackwater,AU,77.67,overcast clouds,-23.5833,148.8833,Blackwater Motor Inn
126,Mlonggo,ID,87.8,few clouds,-6.5333,110.7,Asia Metal Art
127,Tabou,CI,78.6,overcast clouds,4.423,-7.3528,hotêl doufoulougou
128,Farrukhnagar,IN,89.6,few clouds,17.0778,78.2011,Musthafa Five Star Kiranam
132,Touros,BR,75.2,few clouds,-5.1989,-35.4608,INN NEW HORIZON
135,Kahului,US,78.8,broken clouds,20.8947,-156.47,Maui Seaside Hotel
136,Kavaratti,IN,84.33,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
140,Port Blair,IN,83.89,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
143,Mount Isa,AU,86.0,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
144,Siddipet,IN,89.56,overcast clouds,18.1,78.85,Roads And Buildings (R&B) Guest House
146,Port Moresby,PG,78.8,heavy intensity rain,-9.4431,147.1797,Lamana Hotel
149,Makakilo City,US,80.6,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
154,Kalmunai,LK,83.43,broken clouds,7.4167,81.8167,VS Villa
157,Victoria,HK,75.99,broken clouds,22.2855,114.1577,Mini Hotel Central
163,Yulara,AU,75.2,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
166,Moerai,PF,78.26,overcast clouds,-22.4333,-151.3333,Le Manotel
169,Jiazi,CN,78.82,overcast clouds,22.8779,116.06700000000001,Hotel Jin Hao
170,Bambous Virieux,MU,77.0,moderate rain,-20.3428,57.7575,Casa Tia Villa
171,Mana,GF,76.66,moderate rain,5.6592,-53.7767,LE SAMANA
173,Alofi,NU,82.4,moderate rain,-19.0595,-169.9187,Taloa Heights
180,Meulaboh,ID,83.08,overcast clouds,4.1363,96.1285,Kost Pria
182,Kieta,PG,81.1,light rain,-6.2167,155.6333,Uruna Bay Retreat
183,Mahebourg,MU,77.0,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
184,Tampakan,PH,87.8,broken clouds,6.4442,124.9264,Green Palm Resort
186,Lethem,GY,78.13,overcast clouds,3.3803,-59.7968,Savannah Inn
187,Geraldton,AU,78.8,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
192,Portobelo,PA,77.0,overcast clouds,9.55,-79.65,Scuba Portobelo
196,Hobyo,SO,83.88,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
