City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Burnie,AU,-41.0667,145.9167,64.0,67,52,5.99,broken clouds
1,Punta Arenas,CL,-53.15,-70.9167,39.2,87,75,16.11,broken clouds
2,Lebu,CL,-37.6167,-73.65,54.3,91,93,4.47,overcast clouds
3,Kearney,US,40.6995,-99.0815,55.4,87,1,4.61,clear sky
4,Tezu,IN,27.9167,96.1667,94.39,19,65,4.76,broken clouds
5,Qaanaaq,GL,77.484,-69.3632,22.44,88,100,4.81,overcast clouds
6,Cape Town,ZA,-33.9258,18.4232,57.99,94,20,4.61,few clouds
7,Polunochnoye,RU,60.8697,60.4153,38.89,76,96,7.36,overcast clouds
8,Bathsheba,BB,13.2167,-59.5167,78.8,65,40,19.57,scattered clouds
9,Busselton,AU,-33.65,115.3333,72.0,80,100,5.99,moderate rain
10,Saint-Philippe,RE,-21.3585,55.7679,77.0,78,0,19.57,light rain
11,Avarua,CK,-21.2078,-159.775,84.2,74,40,6.91,scattered clouds
12,Takoradi,GH,4.8845,-1.7554,79.79,85,100,5.41,overcast clouds
13,Rikitea,PF,-23.1203,-134.9692,75.72,65,84,10.56,broken clouds
14,Bhatkal,IN,13.9667,74.5667,85.3,69,19,2.42,few clouds
15,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,80,40,13.8,scattered clouds
16,Arlit,NE,18.7369,7.3853,86.99,11,2,7.14,clear sky
17,Pangnirtung,CA,66.1451,-65.7125,30.83,78,100,5.82,overcast clouds
18,Bengkulu,ID,-3.8004,102.2655,83.5,69,87,2.51,overcast clouds
19,Royan,FR,45.6285,-1.0281,50.0,87,75,1.14,broken clouds
20,Naze,JP,28.3667,129.4833,66.2,94,75,19.57,moderate rain
21,Yellowknife,CA,62.456,-114.3525,23.0,58,75,13.8,broken clouds
22,Hermanus,ZA,-34.4187,19.2345,54.0,93,20,5.1,few clouds
23,Beringovskiy,RU,63.05,179.3167,30.45,72,0,1.9,clear sky
24,Coffs Harbour,AU,-30.3,153.1333,69.8,68,64,6.91,broken clouds
